sample_id,timestamp,prompt,prompt_chars,prompt_token_est,model_path,exe_path,max_new_tokens,status,ttft,tpot,e2e,output_chars,output_token_est,return_code,cmd_str,answer,error,true_label,pred_label
0001,2026-03-25T19:48:27,"请判断以下任命证书文本是否符合中文表达逻辑，只回答'合理'或'不合理'，不要有其他内容。
证书文本：任命梁九十八为客服主管，但客服已AI化。",70,68,models\Qwen3.5-0.8B.Q4_K_M.gguf,build\bin\Release\local_llm.exe,64,ok,2.378941297531128,0.007909786767799762,3.794793128967285,563,179,0,build\bin\Release\local_llm.exe --simple-io -st --no-warmup -n 64 -m models\Qwen3.5-0.8B.Q4_K_M.gguf -f C:\Users\AJohn\AppData\Local\Temp\tmp8hxihad7.txt,"证书文本：任命梁九十八为客服主管，但客服已AI化。

[Start thinking]

让我分析这个任命证书文本：

1. 文本内容：""任命梁九十八为客服主管，但客服已AI化""

2. 逻辑分析：
   - 前半部分""任命梁九十八为客服主管""：这是合理的任命表述，符合常规人事表述习惯
   -llama_memory_breakdown_print: | memory breakdown [MiB] | total   free    self   model   context   compute    unaccounted |
llama_memory_breakdown_print: |   - Host               |                 4369 =   492 +    3091 +     786                |
llama_memory_breakdown_print: |   - CPU_REPACK         |                  181 =   181 +       0 +       0                |


[ Prompt: 340.6 t/s | Generation: 55.8 t/s ]",,False,True
0002,2026-03-25T19:48:31,"请判断以下任命证书文本是否符合中文表达逻辑，只回答'合理'或'不合理'，不要有其他内容。
证书文本：任命杨二十八为产品总监，同时撤销产品部。",70,69,models\Qwen3.5-0.8B.Q4_K_M.gguf,build\bin\Release\local_llm.exe,64,ok,2.236423969268799,0.007972260847448665,3.727236747741699,566,187,0,build\bin\Release\local_llm.exe --simple-io -st --no-warmup -n 64 -m models\Qwen3.5-0.8B.Q4_K_M.gguf -f C:\Users\AJohn\AppData\Local\Temp\tmp9xk6zoy4.txt,"证书文本：任命杨二十八为产品总监，同时撤销产品部。

[Start thinking]

我需要分析这个任命证书文本的逻辑合理性。

首先，让我理解这个任命的内容：
1. 任命杨二十八为产品总监
2. 撤销产品部

分析逻辑：
1. 如果任命杨二十八为产品总监，那么产品部应该被撤销
2. 这构成了一个llama_memory_breakdown_print: | memory breakdown [MiB] | total   free    self   model   context   compute    unaccounted |
llama_memory_breakdown_print: |   - Host               |                 4369 =   492 +    3091 +     786                |
llama_memory_breakdown_print: |   - CPU_REPACK         |                  181 =   181 +       0 +       0                |


[ Prompt: 298.2 t/s | Generation: 52.2 t/s ]",,False,True
0003,2026-03-25T19:48:34,"请判断以下任命证书文本是否符合中文表达逻辑，只回答'合理'或'不合理'，不要有其他内容。
证书文本：聘任邬八十一为后勤主管，但后勤已外包。",69,68,models\Qwen3.5-0.8B.Q4_K_M.gguf,build\bin\Release\local_llm.exe,64,ok,2.2499873638153076,0.008156775132469509,3.7508339881896973,560,184,0,build\bin\Release\local_llm.exe --simple-io -st --no-warmup -n 64 -m models\Qwen3.5-0.8B.Q4_K_M.gguf -f C:\Users\AJohn\AppData\Local\Temp\tmpmskp8xnj.txt,"证书文本：聘任邬八十一为后勤主管，但后勤已外包。

[Start thinking]

让我分析这个任命证书的表述逻辑：

1. 首先看任命内容：""聘任邬八十一为后勤主管""
2. 然后出现矛盾：""但后勤已外包""

问题在于：""但后勤已外包""这个部分。

""后勤外包""通常指企业将后勤工作（如llama_memory_breakdown_print: | memory breakdown [MiB] | total   free    self   model   context   compute    unaccounted |
llama_memory_breakdown_print: |   - Host               |                 4369 =   492 +    3091 +     786                |
llama_memory_breakdown_print: |   - CPU_REPACK         |                  181 =   181 +       0 +       0                |


[ Prompt: 333.8 t/s | Generation: 54.9 t/s ]",,False,False
0004,2026-03-25T19:48:38,"请判断以下任命证书文本是否符合中文表达逻辑，只回答'合理'或'不合理'，不要有其他内容。
证书文本：经技术转移中心决议，聘任贾九十一为技术转移经理，但技术转移中心已关闭。",85,84,models\Qwen3.5-0.8B.Q4_K_M.gguf,build\bin\Release\local_llm.exe,64,ok,2.20668625831604,0.006959567516308112,3.619478464126587,581,203,0,build\bin\Release\local_llm.exe --simple-io -st --no-warmup -n 64 -m models\Qwen3.5-0.8B.Q4_K_M.gguf -f C:\Users\AJohn\AppData\Local\Temp\tmpmw6qk5bh.txt,"证书文本：经技术转移中心决议，聘任贾九十一为技术转移经理，但技术转移中心已关闭。

[Start thinking]

让我分析这个任命证书文本的合规性：

1. 内容分析：
- ""经技术转移中心决议"" - 这是合理的描述，表明这是经过某个决策/决议，不是个人单方面决定。
- ""聘任贾九十一为技术转移经理"" - 这是任命行为，逻辑llama_memory_breakdown_print: | memory breakdown [MiB] | total   free    self   model   context   compute    unaccounted |
llama_memory_breakdown_print: |   - Host               |                 4369 =   492 +    3091 +     786                |
llama_memory_breakdown_print: |   - CPU_REPACK         |                  181 =   181 +       0 +       0                |


[ Prompt: 317.0 t/s | Generation: 55.9 t/s ]",,False,True
0005,2026-03-25T19:48:42,"请判断以下任命证书文本是否符合中文表达逻辑，只回答'合理'或'不合理'，不要有其他内容。
证书文本：任命范五十八为公共关系经理，但范五十八有负面新闻。",75,74,models\Qwen3.5-0.8B.Q4_K_M.gguf,build\bin\Release\local_llm.exe,64,ok,2.433051109313965,0.007192588815785417,3.8571836948394775,573,198,0,build\bin\Release\local_llm.exe --simple-io -st --no-warmup -n 64 -m models\Qwen3.5-0.8B.Q4_K_M.gguf -f C:\Users\AJohn\AppData\Local\Temp\tmpc0r6x26w.txt,"证书文本：任命范五十八为公共关系经理，但范五十八有负面新闻。

[Start thinking]

我需要分析这个任命证书文本是否符合中文表达逻辑。

让我逐部分分析：
1. ""任命范五十八为公共关系经理"" - 这部分表述符合中文任命流程，任命某人担任某职务是常见的公文用语，逻辑通顺。
2. ""但范五十八有负面新闻llama_memory_breakdown_print: | memory breakdown [MiB] | total   free    self   model   context   compute    unaccounted |
llama_memory_breakdown_print: |   - Host               |                 4369 =   492 +    3091 +     786                |
llama_memory_breakdown_print: |   - CPU_REPACK         |                  181 =   181 +       0 +       0                |


[ Prompt: 328.1 t/s | Generation: 55.4 t/s ]",,False,False
0006,2026-03-25T19:57:24,"请判断以下任命证书文本是否符合中文表达逻辑，只回答'合理'或'不合理'，不要有其他内容。
证书文本：聘任钱十一为总工程师，负责技术管理工作。",70,69,models\Qwen3.5-0.8B.Q4_K_M.gguf,build\bin\Release\local_llm.exe,64,ok,2.783895969390869,0.008308111633385084,4.287664175033569,557,181,0,build\bin\Release\local_llm.exe --simple-io -st --no-warmup -n 64 -m models\Qwen3.5-0.8B.Q4_K_M.gguf -f C:\Users\AJohn\AppData\Local\Temp\tmp6neitv85.txt,"证书文本：聘任钱十一为总工程师，负责技术管理工作。

[Start thinking]

1. 首先，我需要解析这个文本的关键词：
- ""聘任""：这是任命、任命官任命某人（职务）的动词。
- ""钱十一""：这是被任命的人。
- ""为""：表示“成为、担任”。
- ""总工程师""：这是职务，llama_memory_breakdown_print: | memory breakdown [MiB] | total   free    self   model   context   compute    unaccounted |
llama_memory_breakdown_print: |   - Host               |                 4369 =   492 +    3091 +     786                |
llama_memory_breakdown_print: |   - CPU_REPACK         |                  181 =   181 +       0 +       0                |


[ Prompt: 335.5 t/s | Generation: 52.0 t/s ]",,True,False
0007,2026-03-25T19:57:28,"请判断以下任命证书文本是否符合中文表达逻辑，只回答'合理'或'不合理'，不要有其他内容。
证书文本：任命罗七十八为招聘经理，但招聘已暂停。",69,68,models\Qwen3.5-0.8B.Q4_K_M.gguf,build\bin\Release\local_llm.exe,64,ok,2.6576292514801025,0.008443368732599923,4.1858789920806885,569,181,0,build\bin\Release\local_llm.exe --simple-io -st --no-warmup -n 64 -m models\Qwen3.5-0.8B.Q4_K_M.gguf -f C:\Users\AJohn\AppData\Local\Temp\tmphrzfgjzq.txt,"证书文本：任命罗七十八为招聘经理，但招聘已暂停。

[Start thinking]

让我分析这个任命证书文本的逻辑：

1. **事实层面**：
   - 罗七十八被任命为招聘经理
   - 招聘岗位已暂停

2. **逻辑关系**：
   - 如果一个人被任命为招聘经理，那么招聘岗位应该处于正常、活跃llama_memory_breakdown_print: | memory breakdown [MiB] | total   free    self   model   context   compute    unaccounted |
llama_memory_breakdown_print: |   - Host               |                 4369 =   492 +    3091 +     786                |
llama_memory_breakdown_print: |   - CPU_REPACK         |                  181 =   181 +       0 +       0                |


[ Prompt: 319.9 t/s | Generation: 51.0 t/s ]",,False,False
0008,2026-03-25T19:57:33,"请判断以下任命证书文本是否符合中文表达逻辑，只回答'合理'或'不合理'，不要有其他内容。
证书文本：任命陈十二为华东区域经理，但华东区域经理职位已由他人担任。",79,78,models\Qwen3.5-0.8B.Q4_K_M.gguf,build\bin\Release\local_llm.exe,64,ok,2.616757869720459,0.008183835225812557,4.327179431915283,585,209,0,build\bin\Release\local_llm.exe --simple-io -st --no-warmup -n 64 -m models\Qwen3.5-0.8B.Q4_K_M.gguf -f C:\Users\AJohn\AppData\Local\Temp\tmpvlo8qy9o.txt,"证书文本：任命陈十二为华东区域经理，但华东区域经理职位已由他人担任。

[Start thinking]

我需要分析这个任命证书文本，看看它是否符合中文表达逻辑。

这个文本是：“任命陈十二为华东区域经理，但华东区域经理职位已由他人担任。”

让我逐一分析这个文本：

1. 第一部分“任命陈十二为华东区域经理” - 这是一个任命行为，陈llama_memory_breakdown_print: | memory breakdown [MiB] | total   free    self   model   context   compute    unaccounted |
llama_memory_breakdown_print: |   - Host               |                 4369 =   492 +    3091 +     786                |
llama_memory_breakdown_print: |   - CPU_REPACK         |                  181 =   181 +       0 +       0                |


[ Prompt: 264.9 t/s | Generation: 45.1 t/s ]",,False,False
0009,2026-03-25T19:57:37,"请判断以下任命证书文本是否符合中文表达逻辑，只回答'合理'或'不合理'，不要有其他内容。
证书文本：兹聘任韩二十七为首席市场官，但韩二十七违反竞业协议。",76,75,models\Qwen3.5-0.8B.Q4_K_M.gguf,build\bin\Release\local_llm.exe,64,ok,2.3399524688720703,0.008019075748768258,3.847538709640503,565,188,0,build\bin\Release\local_llm.exe --simple-io -st --no-warmup -n 64 -m models\Qwen3.5-0.8B.Q4_K_M.gguf -f C:\Users\AJohn\AppData\Local\Temp\tmp__mhyjat.txt,"证书文本：兹聘任韩二十七为首席市场官，但韩二十七违反竞业协议。

[Start thinking]

1. 首先，我需要解析这个任命证书文本的结构：
- 主体：聘任韩二十七为首席市场官
- 行为：但韩二十七违反竞业协议
- 逻辑关系：前半句是任命结果，后半句是对该行为的描述/说明。

2. 接下来，llama_memory_breakdown_print: | memory breakdown [MiB] | total   free    self   model   context   compute    unaccounted |
llama_memory_breakdown_print: |   - Host               |                 4369 =   492 +    3091 +     786                |
llama_memory_breakdown_print: |   - CPU_REPACK         |                  181 =   181 +       0 +       0                |


[ Prompt: 325.8 t/s | Generation: 52.2 t/s ]",,False,False
0010,2026-03-25T19:57:41,"请判断以下任命证书文本是否符合中文表达逻辑，只回答'合理'或'不合理'，不要有其他内容。
证书文本：兹任命孔三十七为质量总监，但质量总监职位已被撤销。",75,74,models\Qwen3.5-0.8B.Q4_K_M.gguf,build\bin\Release\local_llm.exe,64,ok,2.196193218231201,0.007224813935720376,3.6194815635681152,576,197,0,build\bin\Release\local_llm.exe --simple-io -st --no-warmup -n 64 -m models\Qwen3.5-0.8B.Q4_K_M.gguf -f C:\Users\AJohn\AppData\Local\Temp\tmpvxrrhqib.txt,"证书文本：兹任命孔三十七为质量总监，但质量总监职位已被撤销。

[Start thinking]

我需要判断这个任命证书文本是否符合中文表达逻辑。

分析文本：
1. ""孔三十七为质量总监"" - 这是一个任命，孔三十七被任命为质量总监
2. ""但质量总监职位已被撤销"" - 这里存在明显的逻辑矛盾。

在中国法律体系下，llama_memory_breakdown_print: | memory breakdown [MiB] | total   free    self   model   context   compute    unaccounted |
llama_memory_breakdown_print: |   - Host               |                 4369 =   492 +    3091 +     786                |
llama_memory_breakdown_print: |   - CPU_REPACK         |                  181 =   181 +       0 +       0                |


[ Prompt: 319.4 t/s | Generation: 56.0 t/s ]",,False,False
